2019/04/08 13:40:13.795 [D]  this is a debug, count is 1
2019/04/08 13:40:13.795 [D]  this is a trace, count is 1
2019/04/08 13:40:13.795 [W]  this is a warn, count is 1
2019/04/08 13:40:14.827 [D]  this is a debug, count is 2
2019/04/08 13:40:14.827 [D]  this is a trace, count is 2
2019/04/08 13:40:14.827 [W]  this is a warn, count is 2
2019/04/08 13:40:15.827 [D]  this is a debug, count is 3
2019/04/08 13:40:15.827 [D]  this is a trace, count is 3
2019/04/08 13:40:15.827 [W]  this is a warn, count is 3
2019/04/08 13:40:16.828 [D]  this is a debug, count is 4
2019/04/08 13:40:16.828 [D]  this is a trace, count is 4
2019/04/08 13:40:16.828 [W]  this is a warn, count is 4
2019/04/08 13:40:17.828 [D]  this is a debug, count is 5
2019/04/08 13:40:17.828 [D]  this is a trace, count is 5
2019/04/08 13:40:17.828 [W]  this is a warn, count is 5
2019/04/08 13:40:18.828 [D]  this is a debug, count is 6
2019/04/08 13:40:18.828 [D]  this is a trace, count is 6
2019/04/08 13:40:18.828 [W]  this is a warn, count is 6
2019/04/08 13:40:19.828 [D]  this is a debug, count is 7
2019/04/08 13:40:19.828 [D]  this is a trace, count is 7
2019/04/08 13:40:19.828 [W]  this is a warn, count is 7
2019/04/08 13:40:20.828 [D]  this is a debug, count is 8
2019/04/08 13:40:20.828 [D]  this is a trace, count is 8
2019/04/08 13:40:20.828 [W]  this is a warn, count is 8
2019/04/08 13:40:21.828 [D]  this is a debug, count is 9
2019/04/08 13:40:21.828 [D]  this is a trace, count is 9
2019/04/08 13:40:21.828 [W]  this is a warn, count is 9
2019/04/08 13:40:22.828 [D]  this is a debug, count is 10
2019/04/08 13:40:22.828 [D]  this is a trace, count is 10
2019/04/08 13:40:22.828 [W]  this is a warn, count is 10
2019/04/08 13:40:23.828 [D]  this is a debug, count is 11
2019/04/08 13:40:23.828 [D]  this is a trace, count is 11
2019/04/08 13:40:23.828 [W]  this is a warn, count is 11
2019/04/08 13:40:24.828 [D]  this is a debug, count is 12
