2019/04/08 13:40:16.882 [D]  init log success
2019/04/08 13:40:16.883 [D]  init tailf success
2019/04/08 13:40:16.923 [D]  init kafka success
2019/04/08 13:40:16.924 [D]  start to send message to kafka...
2019/04/08 13:40:17.068 [D]  pid:0 offset:1068

2019/04/08 13:40:17.069 [D]  start to send message to kafka...
2019/04/08 13:40:17.076 [D]  pid:0 offset:1069

2019/04/08 13:40:17.076 [D]  start to send message to kafka...
2019/04/08 13:40:17.079 [D]  pid:0 offset:1070

2019/04/08 13:40:17.079 [D]  start to send message to kafka...
2019/04/08 13:40:17.082 [D]  pid:0 offset:1071

2019/04/08 13:40:17.082 [D]  start to send message to kafka...
2019/04/08 13:40:17.085 [D]  pid:0 offset:1072

2019/04/08 13:40:17.085 [D]  start to send message to kafka...
2019/04/08 13:40:17.089 [D]  pid:0 offset:1073

2019/04/08 13:40:17.089 [D]  start to send message to kafka...
2019/04/08 13:40:17.098 [D]  pid:0 offset:1074

2019/04/08 13:40:17.098 [D]  start to send message to kafka...
2019/04/08 13:40:17.104 [D]  pid:0 offset:1075

2019/04/08 13:40:17.104 [D]  start to send message to kafka...
2019/04/08 13:40:17.109 [D]  pid:0 offset:1076

2019/04/08 13:40:17.109 [D]  start to send message to kafka...
2019/04/08 13:40:17.113 [D]  pid:0 offset:1077

2019/04/08 13:40:17.113 [D]  start to send message to kafka...
2019/04/08 13:40:17.116 [D]  pid:0 offset:1078

2019/04/08 13:40:17.116 [D]  start to send message to kafka...
2019/04/08 13:40:17.124 [D]  pid:0 offset:1079

2019/04/08 13:40:17.124 [D]  start to send message to kafka...
2019/04/08 13:40:17.887 [D]  pid:0 offset:1080

2019/04/08 13:40:17.887 [D]  start to send message to kafka...
2019/04/08 13:40:17.898 [D]  pid:0 offset:1081

2019/04/08 13:40:17.898 [D]  start to send message to kafka...
2019/04/08 13:40:17.905 [D]  pid:0 offset:1082

2019/04/08 13:40:17.905 [D]  start to send message to kafka...
2019/04/08 13:40:18.877 [D]  pid:0 offset:1083

2019/04/08 13:40:18.877 [D]  start to send message to kafka...
2019/04/08 13:40:18.888 [D]  pid:0 offset:1084

2019/04/08 13:40:18.888 [D]  start to send message to kafka...
2019/04/08 13:40:18.891 [D]  pid:0 offset:1085

2019/04/08 13:40:18.891 [D]  start to send message to kafka...
2019/04/08 13:40:19.896 [D]  pid:0 offset:1086

2019/04/08 13:40:19.896 [D]  start to send message to kafka...
2019/04/08 13:40:19.900 [D]  pid:0 offset:1087

2019/04/08 13:40:19.900 [D]  start to send message to kafka...
2019/04/08 13:40:19.904 [D]  pid:0 offset:1088

2019/04/08 13:40:19.904 [D]  start to send message to kafka...
2019/04/08 13:40:20.880 [D]  pid:0 offset:1089

2019/04/08 13:40:20.880 [D]  start to send message to kafka...
2019/04/08 13:40:20.893 [D]  pid:0 offset:1090

2019/04/08 13:40:20.893 [D]  start to send message to kafka...
2019/04/08 13:40:20.897 [D]  pid:0 offset:1091

2019/04/08 13:40:20.897 [D]  start to send message to kafka...
2019/04/08 13:40:21.875 [D]  pid:0 offset:1092

2019/04/08 13:40:21.875 [D]  start to send message to kafka...
2019/04/08 13:40:21.893 [D]  pid:0 offset:1093

2019/04/08 13:40:21.893 [D]  start to send message to kafka...
2019/04/08 13:40:21.902 [D]  pid:0 offset:1094

2019/04/08 13:40:21.902 [D]  start to send message to kafka...
2019/04/08 13:40:22.884 [D]  pid:0 offset:1095

2019/04/08 13:40:22.884 [D]  start to send message to kafka...
2019/04/08 13:40:22.899 [D]  pid:0 offset:1096

2019/04/08 13:40:22.899 [D]  start to send message to kafka...
2019/04/08 13:40:22.903 [D]  pid:0 offset:1097

2019/04/08 13:40:22.903 [D]  start to send message to kafka...
2019/04/08 13:40:23.890 [D]  pid:0 offset:1098

2019/04/08 13:40:23.890 [D]  start to send message to kafka...
2019/04/08 13:40:23.905 [D]  pid:0 offset:1099

2019/04/08 13:40:23.906 [D]  start to send message to kafka...
2019/04/08 13:40:23.917 [D]  pid:0 offset:1100

2019/04/08 13:40:23.917 [D]  start to send message to kafka...
2019/04/08 13:40:24.881 [D]  pid:0 offset:1101

2019/04/08 13:40:24.881 [D]  start to send message to kafka...
2019/04/08 13:40:24.908 [D]  pid:0 offset:1102

2019/04/08 13:40:24.908 [D]  start to send message to kafka...
2019/04/08 13:40:24.916 [D]  pid:0 offset:1103

2019/04/08 13:40:24.916 [D]  start to send message to kafka...
